"REF_DATE","GEO","DGUID","Level of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","4400","","","","0"
"2006/2007","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","5387","","","","0"
"2006/2007","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","13378","","","","0"
"2006/2007","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","11093","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2633","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2096","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","10147","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2723","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","4920","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","2693","","","","0"
"2006/2007","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","6068","","","","0"
"2006/2007","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","6422","","","","0"
"2006/2007","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","8054","","","","0"
"2006/2007","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","12363","","","","0"
"2006/2007","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","14515","","","","0"
"2006/2007","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5470","","","","0"
"2006/2007","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","4970","","","","0"
"2006/2007","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","10630","","","","0"
"2006/2007","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","8841","","","","0"
"2006/2007","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","1932","","","","0"
"2006/2007","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2059","","","","0"
"2006/2007","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","12330","","","","0"
"2006/2007","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","10043","","","","0"
"2006/2007","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","5155","","","","0"
"2006/2007","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","8490","","","","0"
"2006/2007","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","14541","","","","0"
"2006/2007","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","15125","","","","0"
"2006/2007","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3319","","","","0"
"2006/2007","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","4626","","","","0"
"2006/2007","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","9122","","","","0"
"2006/2007","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","8831","","","","0"
"2006/2007","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","4774","","","","0"
"2006/2007","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","2837","","","","0"
"2006/2007","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","10374","","","","0"
"2006/2007","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","3044","","","","0"
"2006/2007","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","4763","","","","0"
"2006/2007","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","5490","","","","0"
"2006/2007","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","12617","","","","0"
"2006/2007","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9670","","","","0"
"2006/2007","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4740","","","","0"
"2006/2007","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","5605","","","","0"
"2006/2007","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","15564","","","","0"
"2006/2007","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","8893","","","","0"
"2007/2008","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","4558","","","","0"
"2007/2008","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","5592","","","","0"
"2007/2008","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","13947","","","","0"
"2007/2008","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","12560","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2632","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","3686","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","9599","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","3464","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","4440","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","2875","","","","0"
"2007/2008","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","8760","","","","0"
"2007/2008","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","6053","","","","0"
"2007/2008","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","6110","","","","0"
"2007/2008","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","7357","","","","0"
"2007/2008","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","12376","","","","0"
"2007/2008","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","14868","","","","0"
"2007/2008","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5590","","","","0"
"2007/2008","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5119","","","","0"
"2007/2008","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","10990","","","","0"
"2007/2008","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","9172","","","","0"
"2007/2008","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2056","","","","0"
