name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,Brand
Spider-Man (Peter Parker),Secret Identity,Good Characters,Hazel,Brown,Living Characters,4043,Aug-62,1962,Marvel
Captain America (Steven Rogers),Public Identity,Good Characters,Blue,White,Living Characters,3360,Mar-41,1941,Marvel
Batman (Bruce Wayne),Secret Identity,Good Characters,Blue,Black,Living Characters,3093,"1939, May",1939,DC
"Wolverine (James \""Logan\"" Howlett)",Public Identity,Neutral Characters,Blue,Black,Living Characters,3061,Oct-74,1974,Marvel
"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Good Characters,Blue,Black,Living Characters,2961,Mar-63,1963,Marvel
Superman (Clark Kent),Secret Identity,Good Characters,Blue,Black,Living Characters,2496,"1986, October",1986,DC
Thor (Thor Odinson),No Dual Identity,Good Characters,Blue,Blond,Living Characters,2258,Nov-50,1950,Marvel
Benjamin Grimm,Public Identity,Good Characters,Blue,No,Living Characters,2255,Nov-61,1961,Marvel
Reed Richards,Public Identity,Good Characters,Brown,Brown,Living Characters,2072,Nov-61,1961,Marvel
Hulk (Robert Bruce Banner),Public Identity,Good Characters,Brown,Brown,Living Characters,2017,May-62,1962,Marvel
Scott Summers,Public Identity,Neutral Characters,Brown,Brown,Living Characters,1955,Sep-63,1963,Marvel
Jonathan Storm,Public Identity,Good Characters,Blue,Blond,Living Characters,1934,Nov-61,1961,Marvel
Henry McCoy,Public Identity,Good Characters,Blue,Blue,Living Characters,1825,Sep-63,1963,Marvel
Susan Storm,Public Identity,Good Characters,Blue,Blond,Living Characters,1713,Nov-61,1961,Marvel
Green Lantern (Hal Jordan),Secret Identity,Good Characters,Brown,Brown,Living Characters,1565,"1959, October",1959,DC
Namor McKenzie,No Dual Identity,Neutral Characters,Green,Black,Living Characters,1528,,,Marvel
Ororo Munroe,Public Identity,Good Characters,Blue,White,Living Characters,1512,May-75,1975,Marvel
Clinton Barton,Public Identity,Good Characters,Blue,Blond,Living Characters,1394,Sep-64,1964,Marvel
Matthew Murdock,Public Identity,Good Characters,Blue,Red,Living Characters,1338,Apr-64,1964,Marvel
James Gordon,Public Identity,Good Characters,Brown,White,Living Characters,1316,"1987, February",1987,DC
Stephen Strange,Public Identity,Good Characters,Grey,Black,Living Characters,1307,Jul-63,1963,Marvel
Mary Jane Watson,No Dual Identity,Good Characters,Green,Red,Living Characters,1304,Jun-65,1965,Marvel
John Jonah Jameson,No Dual Identity,Neutral Characters,Blue,Black,Living Characters,1266,Mar-63,1963,Marvel
Robert Drake,Secret Identity,Good Characters,Brown,Brown,Living Characters,1265,Sep-63,1963,Marvel
Richard Grayson,Secret Identity,Good Characters,Blue,Black,Living Characters,1237,"1940, April",1940,DC
Henry Pym,Public Identity,Good Characters,Blue,Blond,Living Characters,1237,Jan-62,1962,Marvel
Charles Xavier,Public Identity,Good Characters,Blue,Bald,Deceased Characters,1233,Sep-63,1963,Marvel
Wonder Woman (Diana Prince),Public Identity,Good Characters,Blue,Black,Living Characters,1231,"1941, December",1941,DC
Warren Worthington III,Public Identity,Good Characters,Blue,Blond,Living Characters,1230,Sep-63,1963,Marvel
Piotr Rasputin,Secret Identity,Good Characters,Blue,Black,Living Characters,1162,May-75,1975,Marvel
Wanda Maximoff,Public Identity,Good Characters,Green,Brown,Living Characters,1161,Mar-64,1964,Marvel
Nicholas Fury,No Dual Identity,Neutral Characters,Brown,Brown,Living Characters,1137,May-63,1963,Marvel
Aquaman (Arthur Curry),Public Identity,Good Characters,Blue,Blond,Living Characters,1121,"1941, November",1941,DC
Janet van Dyne,Public Identity,Good Characters,Blue,Auburn,Living Characters,1120,Jun-63,1963,Marvel
Jean Grey,Public Identity,Good Characters,Green,Red,Deceased Characters,1107,Sep-63,1963,Marvel
Timothy Drake,Secret Identity,Good Characters,Blue,Black,Living Characters,1095,"1989, August",1989,DC
Dinah Laurel Lance,Public Identity,Good Characters,Blue,Blond,Living Characters,1075,"1969, November",1969,DC
Natalia Romanova,Public Identity,Good Characters,Green,Red,Living Characters,1050,Apr-64,1964,Marvel
Kurt Wagner,Secret Identity,Good Characters,Yellow,Blue,Living Characters,1047,May-75,1975,Marvel
Flash (Barry Allen),Secret Identity,Good Characters,Blue,Blond,Living Characters,1028,"1956, October",1956,DC
GenderTest,Secret Identity,Good Characters,Blue,Blond,Living Characters,1028,"1956, October",1956,DC
Vision,Secret Identity,Good Characters,Gold,No,Living Characters,1007,Oct-68,1968,Marvel
May Reilly,No Dual Identity,Good Characters,Blue,Grey,Living Characters,1000,Aug-62,1962,Marvel
Alan Scott,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,969,"1940, July",1940,DC
Barbara Gordon,Secret Identity,Good Characters,Blue,Red,Living Characters,951,"1967, January",1967,DC
Jason Garrick,Public Identity,Good Characters,Blue,Brown,Living Characters,951,"1940, January",1940,DC
Lois Lane,Public Identity,Good Characters,Blue,Black,Living Characters,934,"1938, June",1938,DC
Alfred Pennyworth,Public Identity,Good Characters,Blue,Black,Living Characters,930,"1943, April",1943,DC
Katherine Pryde,Secret Identity,Good Characters,Hazel,Brown,Living Characters,886,Jan-80,1980,Marvel
Carol Danvers,Public Identity,Good Characters,Blue,Blond,Living Characters,881,Mar-68,1968,Marvel
Jennifer Walters,Public Identity,Good Characters,Green,Brown,Living Characters,881,Feb-80,1980,Marvel
Emma Frost,Public Identity,Neutral Characters,Blue,Brown,Living Characters,880,Jan-80,1980,Marvel
Frank Castle,Public Identity,Neutral Characters,Blue,Black,Living Characters,878,Feb-74,1974,Marvel
Luke Cage,No Dual Identity,Good Characters,Brown,Black,Living Characters,856,Jun-72,1972,Marvel
Rogue (Anna Marie),Secret Identity,Good Characters,Green,Auburn,Living Characters,850,,,Marvel
Carter Hall,Secret Identity,Good Characters,Blue,Brown,Living Characters,803,"1940, January",1940,DC
Conan,No Dual Identity,Neutral Characters,Blue,Black,Living Characters,787,Oct-70,1970,Marvel
Joseph Robertson,No Dual Identity,Good Characters,Brown,White,Living Characters,752,Aug-67,1967,Marvel
Pietro Maximoff,Public Identity,Good Characters,Blue,Silver,Living Characters,740,Mar-64,1964,Marvel
Hercules,No Dual Identity,Good Characters,Blue,Brown,Living Characters,725,Oct-65,1965,Marvel
Victor von Doom,Public Identity,Bad Characters,Brown,Brown,Living Characters,721,Jul-62,1962,Marvel
Kyle Rayner,Secret Identity,Good Characters,Green,Black,Living Characters,716,"1994, January",1994,DC
Max Eisenhardt,Public Identity,Neutral Characters,Grey,Bald,Living Characters,709,Sep-63,1963,Marvel
Elizabeth Braddock,Secret Identity,Neutral Characters,Blue,Purple,Living Characters,708,Dec-76,1976,Marvel
Raymond Palmer,Public Identity,Good Characters,Brown,,Living Characters,706,"1961, October",1961,DC
Norrin Radd,Public Identity,Good Characters,Blue,Bald,Living Characters,696,Mar-66,1966,Marvel
Norman Osborn,Public Identity,Bad Characters,Blue,Auburn,Living Characters,692,Jul-64,1964,Marvel
Eugene Thompson,Secret Identity,Good Characters,Blue,Strawberry Blond,Living Characters,689,Aug-62,1962,Marvel
Simon Williams,Public Identity,Good Characters,Red,Grey,Living Characters,686,Oct-64,1964,Marvel
